
# MouthPieces

find . -name '*png' | grep 'MouthPeices-0015' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Gold-Grill.0_833.png'
find . -name '*png' | grep 'MouthPeices-0016' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Bone.1_875.png'
find . -name '*png' | grep 'MouthPeices-0017' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Lilly.3_750.png'
find . -name '*png' | grep 'MouthPeices-0018' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Frizbee.2_778.png'
find . -name '*png' | grep 'MouthPeices-0019' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Burp.2_778.png'
find . -name '*png' | grep 'MouthPeices-0020' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/E-Cigarette.1_875.png'
find . -name '*png' | grep 'MouthPeices-0021' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Pacifier.2_778.png'
find . -name '*png' | grep 'MouthPeices-0022' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Cigerette-Stick.1_875.png'
find . -name '*png' | grep 'MouthPeices-0023' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Whistle.2_778.png'
find . -name '*png' | grep 'MouthPeices-0024' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Vape.2_778.png'
find . -name '*png' | grep 'MouthPeices-0025' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Party-Popper.2_778.png'
find . -name '*png' | grep 'MouthPeices-0026' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Blunt.3_750.png'
find . -name '*png' | grep 'MouthPeices-0027' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Joint.1_875.png'
find . -name '*png' | grep 'MouthPeices-0028' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Pipe.1_875.png'
find . -name '*png' | grep 'MouthPeices-0029' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Rose.0_833.png'
find . -name '*png' | grep 'MouthPeices-0030' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Pizza.2_778.png'
find . -name '*png' | grep 'MouthPeices-0031' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Spaghetti.3_750.png'
find . -name '*png' | grep 'MouthPeices-0032' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Kazoo.2_778.png'
find . -name '*png' | grep 'MouthPeices-0033' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Wheat.2_778.png'
find . -name '*png' | grep 'MouthPeices-0034' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Cigarette.2_778.png'
find . -name '*png' | grep 'MouthPeices-0035' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Knife.1_875.png'
find . -name '*png' | grep 'MouthPeices-0036' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Donkey-Teeth.2_778.png'
find . -name '*png' | grep 'MouthPeices-0037' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Cigar.0_833.png'
find . -name '*png' | grep 'MouthPeices-0038' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Hotlips.1_875.png'
find . -name '*png' | grep 'MouthPeices-0039' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Thermometer.2_778.png'
find . -name '*png' | grep 'MouthPeices-0040' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Gold-Mouth.0_833.png'
find . -name '*png' | grep 'MouthPeices-0041' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Gaping-Maw.3_750.png'
find . -name '*png' | grep 'MouthPeices-0042' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Smiley-Grin.3_750.png'
find . -name '*png' | grep 'MouthPeices-0043' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Poor-Sucker.0_833.png'
find . -name '*png' | grep 'MouthPeices-0044' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Lollypop-Stick.2_778.png'
find . -name '*png' | grep 'MouthPeices-0045' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Full-Cog.2_778.png'
find . -name '*png' | grep 'MouthPeices-0046' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Tooth-Pick.2_778.png'
find . -name '*png' | grep 'MouthPeices-0047' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Teeth-Grit.3_750.png'
find . -name '*png' | grep 'MouthPeices-0048' | xargs -n1 -I {} bash -c 'mv {} $(dirname {})/Bubblegum.1_875.png'
